,Trade_date,Bid_time,Option_expiration,Call_Put,Price_strike,Bid_price,Bid_size,Ask_price,Ask_size,Mid_price,Underlying_mid_price,log_moneyness,Time_to_expiry,Mid_IV
0,10/21/2020,1618130328469,12/18/2020,P,3435.0,137.2,12,138.1,108,137.64999999999998,3440.56,0.0016173231597010362,0.1589041095890411,0.25694484069938966
1,10/21/2020,1618130327936,12/18/2020,C,3435.0,140.7,12,141.7,79,141.2,3440.56,0.0016173231597010362,0.1589041095890411,0.2532630693320397
2,10/21/2020,1618130327936,12/18/2020,C,3435.0,140.7,12,141.7,79,141.2,3440.56,0.0016173231597010362,0.1589041095890411,0.2532630693320397
3,10/21/2020,1618130332093,12/18/2020,C,3435.0,140.7,12,141.5,34,141.1,3440.56,0.0016173231597010362,0.1589041095890411,0.25307989985115353
4,10/21/2020,1618130332093,12/18/2020,C,3435.0,140.7,12,141.5,34,141.1,3440.56,0.0016173231597010362,0.1589041095890411,0.25307989985115353
5,10/21/2020,1618130334544,12/18/2020,P,3435.0,137.2,12,138.3,180,137.75,3440.56,0.0016173231597010362,0.1589041095890411,0.25712801665281504
6,10/21/2020,1618130336876,12/18/2020,C,3435.0,140.8,12,141.6,34,141.2,3440.56,0.0016173231597010362,0.1589041095890411,0.2532630693320397
7,10/21/2020,1618130336876,12/18/2020,C,3435.0,140.8,12,141.6,34,141.2,3440.56,0.0016173231597010362,0.1589041095890411,0.2532630693320397
8,10/21/2020,1618130336477,12/18/2020,P,3435.0,137.1,12,138.3,180,137.7,3440.56,0.0016173231597010362,0.1589041095890411,0.2570364286373411
9,10/21/2020,1618133441914,12/18/2020,P,3390.0,122.3,100,123.4,75,122.85,3441.33,0.015028103178614565,0.1589041095890411,0.2709286788492752
10,10/21/2020,1618133459890,12/18/2020,C,3500.0,99.4,238,100.0,44,99.7,3441.73,-0.016788716548648823,0.1589041095890411,0.2296425342878313
11,10/21/2020,1618133459923,12/18/2020,C,3500.0,99.4,238,100.4,30,99.9,3441.9,-0.016739324004297996,0.1589041095890411,0.22987173824479995
12,10/21/2020,1618133474549,12/18/2020,C,3500.0,100.3,147,101.5,34,100.9,3444.1850000000004,-0.01607566676397418,0.1589041095890411,0.2298323376567153
13,10/21/2020,1618133710016,12/18/2020,P,3435.0,137.3,15,138.2,15,137.75,3445.5550000000003,0.003068068863502391,0.1589041095890411,0.261430920082274
14,10/21/2020,1618133710016,12/18/2020,P,3435.0,137.3,15,138.2,15,137.75,3445.5550000000003,0.003068068863502391,0.1589041095890411,0.261430920082274
15,10/21/2020,1618133710016,12/18/2020,P,3435.0,137.3,15,138.2,15,137.75,3445.5550000000003,0.003068068863502391,0.1589041095890411,0.261430920082274
16,10/21/2020,1618133710015,12/18/2020,C,3435.0,138.3,30,139.2,15,138.75,3445.5550000000003,0.003068068863502391,0.1589041095890411,0.24393596596314523
17,10/21/2020,1618133710015,12/18/2020,C,3435.0,138.3,30,139.2,15,138.75,3445.5550000000003,0.003068068863502391,0.1589041095890411,0.24393596596314523
18,10/21/2020,1618133710015,12/18/2020,C,3435.0,138.3,30,139.2,15,138.75,3445.5550000000003,0.003068068863502391,0.1589041095890411,0.24393596596314523
19,10/21/2020,1618133710015,12/18/2020,C,3435.0,138.3,30,139.2,15,138.75,3445.5550000000003,0.003068068863502391,0.1589041095890411,0.24393596596314523
20,10/21/2020,1618133710015,12/18/2020,C,3435.0,138.3,30,139.2,15,138.75,3445.5550000000003,0.003068068863502391,0.1589041095890411,0.24393596596314523
21,10/21/2020,1618133710015,12/18/2020,C,3435.0,138.3,30,139.2,15,138.75,3445.5550000000003,0.003068068863502391,0.1589041095890411,0.24393596596314523
22,10/21/2020,1618133710016,12/18/2020,P,3435.0,137.3,15,138.2,15,137.75,3445.5550000000003,0.003068068863502391,0.1589041095890411,0.261430920082274
23,10/21/2020,1618133710016,12/18/2020,P,3435.0,137.3,15,138.2,15,137.75,3445.5550000000003,0.003068068863502391,0.1589041095890411,0.261430920082274
24,10/21/2020,1618133710690,12/18/2020,P,3435.0,137.2,90,138.2,60,137.7,3445.25,0.0029795450988045684,0.1589041095890411,0.261078174341953
25,10/21/2020,1618133735666,12/18/2020,C,3445.0,132.7,60,133.5,14,133.1,3445.575,0.00016689463545035881,0.1589041095890411,0.24249582693850416
26,10/21/2020,1618133800611,12/18/2020,C,3435.0,138.3,60,139.1,45,138.7,3445.0,0.0029069787913093108,0.1589041095890411,0.24438463450288136
27,10/21/2020,1618133800654,12/18/2020,P,3435.0,137.4,60,138.2,60,137.8,3445.0,0.0029069787913093108,0.1589041095890411,0.2610470483953349
28,10/21/2020,1618133800654,12/18/2020,P,3435.0,137.4,60,138.2,60,137.8,3445.0,0.0029069787913093108,0.1589041095890411,0.2610470483953349
29,10/21/2020,1618133800611,12/18/2020,C,3435.0,138.3,60,139.1,45,138.7,3445.0,0.0029069787913093108,0.1589041095890411,0.24438463450288136
30,10/21/2020,1618133800611,12/18/2020,C,3435.0,138.3,60,139.1,45,138.7,3445.0,0.0029069787913093108,0.1589041095890411,0.24438463450288136
31,10/21/2020,1618133800654,12/18/2020,P,3435.0,137.4,60,138.2,60,137.8,3445.0,0.0029069787913093108,0.1589041095890411,0.2610470483953349
32,10/21/2020,1618133835094,12/18/2020,P,3435.0,136.9,75,137.8,60,137.35000000000002,3445.8999999999996,0.0031681928577205975,0.1589041095890411,0.26099371002931804
33,10/21/2020,1618133835098,12/18/2020,C,3435.0,138.6,75,139.4,107,139.0,3445.8999999999996,0.0031681928577205975,0.1589041095890411,0.24405754648703593
34,10/21/2020,1618133852430,12/18/2020,P,3375.0,116.8,75,117.5,144,117.15,3443.8450000000003,0.020193255420998747,0.1589041095890411,0.27504469026239736
35,10/21/2020,1618133864641,12/18/2020,P,3400.0,124.9,15,125.6,15,125.25,3444.295,0.012943807488789726,0.1589041095890411,0.26901499529541123
36,10/21/2020,1618133877467,12/18/2020,P,3425.0,134.0,74,134.7,74,134.35,3444.1800000000003,0.0055843782939006634,0.1589041095890411,0.2632780063088444
37,10/21/2020,1618133879488,12/18/2020,P,3435.0,137.7,60,138.5,60,138.1,3444.165,0.0026645691512181473,0.1589041095890411,0.26087989728562
38,10/21/2020,1618133879488,12/18/2020,C,3435.0,137.7,15,138.5,139,138.1,3444.165,0.0026645691512181473,0.1589041095890411,0.24409757747563865
39,10/21/2020,1618133879488,12/18/2020,C,3435.0,137.7,15,138.5,139,138.1,3444.165,0.0026645691512181473,0.1589041095890411,0.24409757747563865
40,10/21/2020,1618133879488,12/18/2020,P,3435.0,137.7,60,138.5,60,138.1,3444.165,0.0026645691512181473,0.1589041095890411,0.26087989728562
41,10/21/2020,1618133891842,12/18/2020,C,3435.0,138.2,15,138.9,32,138.55,3445.23,0.0029737399879848827,0.1589041095890411,0.2438862035987687
42,10/21/2020,1618133891842,12/18/2020,C,3435.0,138.2,15,138.9,32,138.55,3445.23,0.0029737399879848827,0.1589041095890411,0.2438862035987687
43,10/21/2020,1618133891333,12/18/2020,P,3435.0,137.3,15,138.0,15,137.65,3445.23,0.0029737399879848827,0.1589041095890411,0.2609694844578217
44,10/21/2020,1618133891333,12/18/2020,P,3435.0,137.3,15,138.0,15,137.65,3445.23,0.0029737399879848827,0.1589041095890411,0.2609694844578217
45,10/21/2020,1618133895605,12/18/2020,P,3450.0,143.2,69,144.0,135,143.6,3445.125,-0.0014140427656652375,0.1589041095890411,0.25756042277325125
46,10/21/2020,1618133909000,12/18/2020,C,3475.0,114.5,272,115.2,15,114.85,3445.7200000000003,-0.008461597839666391,0.1589041095890411,0.23443434011738054
47,10/21/2020,1618133920728,12/18/2020,C,3475.0,114.5,127,116.3,130,115.4,3446.435,-0.008254115563784716,0.1589041095890411,0.23480810516613498
48,10/21/2020,1618133922174,12/18/2020,C,3475.0,114.5,220,116.3,30,115.4,3446.31,-0.008290385583933047,0.1589041095890411,0.23491845686780555
49,10/21/2020,1618133925227,12/18/2020,C,3500.0,101.0,192,101.8,132,101.4,3446.49,-0.015406646650277545,0.1589041095890411,0.2288452764026662
50,10/21/2020,1618133940054,12/18/2020,C,3525.0,88.3,135,89.0,72,88.65,3446.46,-0.02253281896509062,0.1589041095890411,0.22374247003572034
51,10/21/2020,1618134033227,12/18/2020,C,3435.0,142.1,15,143.0,30,142.55,3452.44,0.005064301764906932,0.1589041095890411,0.24413629283818317
