,Bid_time,Price_strike,Mid_price,Underlying_mid_price,Mid_IV,Delta,Mid_price_diff,Bid_time_diff,Mid_IV_diff,Mid_price_ret,Mid_IV_diff_sign
3,37200032.0,312.5,8.8,313.0,0.23736471925985844,0.5229633431384606,-1.174999999999999,2.0,-0.03265252074305389,-0.1253302412917663,-1.0
5,37200080.0,312.5,8.8,313.015,0.23714668171019548,0.5232381517161322,-0.02499999999999858,15.0,-0.0006946937775770823,-0.002836881335199504,-1.0
6,37200084.0,312.5,8.3375,313.015,0.2242950456597113,0.5230482660166125,-0.46250000000000036,4.0,-0.012851636050484172,-0.053988310242418736,-1.0
9,37200117.0,312.5,8.8,313.02,0.2370739774372411,0.5233298661864616,-0.6937499999999996,9.0,-0.0017272266516463741,-0.07588196587778505,-1.0
10,37200150.0,311.25,9.268749999999999,313.02,0.23244021309606924,0.5469901292128654,0.4687499999999982,33.0,-0.004633764341171853,0.05189680541994414,-1.0
12,37200307.0,311.25,9.2875,313.02,0.23296397446739675,0.5469448058446957,0.48749999999999893,103.0,-0.004110002969844345,0.05391768855971657,-1.0
14,37200457.0,312.5,7.875,313.02,0.2113710451967467,0.5230288845852638,-0.9250000000000007,104.0,-0.025702932240494386,-0.11105853677246415,-1.0
16,37200672.0,312.5,8.6375,313.01,0.23270388135741604,0.5230709466788497,-0.16250000000000142,208.0,-0.004370096079825053,-0.0186385323903727,-1.0
20,37200769.0,312.5,8.8,313.01,0.23721937343017768,0.5231464930920637,-0.75,12.0,-0.020841476589884167,-0.08178943300847812,-1.0
21,37200980.0,312.5,8.783333333333333,313.045,0.23624714539102504,0.5237825652165462,-0.016666666666667496,211.0,-0.000972228039152645,-0.0018957351648992008,-1.0
24,37201054.0,312.5,7.875,313.03,0.21122568537637823,0.5232366589602133,-0.9250000000000007,8.0,-0.025702845807285768,-0.11105853677246415,-1.0
27,37201224.0,312.5,8.8,313.045,0.23671026735082448,0.52378927838026,-0.049999999999998934,4.0,-0.0013893687125295096,-0.005665737535677196,-1.0
29,37201270.0,312.5,8.8,313.05,0.2366374875035406,0.5238813292174349,-0.5874999999999986,8.0,-0.016325345142288866,-0.06462729560609223,-1.0
31,37201320.0,312.5,8.8,313.05,0.2366374875035406,0.5238813292174349,-0.016666666666667496,48.0,-0.00046312142515203547,-0.0018921481520380377,-1.0
33,37201366.0,312.5,8.8,313.045,0.23671026735082448,0.52378927838026,-0.049999999999998934,4.0,-0.0013893687125295096,-0.005665737535677196,-1.0
34,37201397.0,312.5,7.699999999999999,313.045,0.20614493358702887,0.5235380676262835,-1.1000000000000014,31.0,-0.03056533376379561,-0.13353139262452274,-1.0
