,Bid_time,Price_strike,Mid_price,Underlying_mid_price,Mid_IV,Delta,Mid_price_diff,Bid_time_diff,Mid_IV_diff,Mid_price_ret,Mid_IV_diff_sign
2,37201311.0,320.0,12.8,313.05,0.24411488285353425,-0.6088642625790008,-0.3999999999999986,256.0,-0.011155858360613696,-0.030771658666753545,-1.0
4,37202038.0,320.0,13.375,313.045,0.26054853285196794,-0.6004635669191849,-0.07499999999999929,401.0,-0.0021481070336677455,-0.00559181326577783,-1.0
6,37203820.0,320.0,13.375,313.035,0.2603764400890675,-0.6007118642029852,-0.07499999999999929,1533.0,-0.0023201997965681675,-0.00559181326577783,-1.0
7,37203998.0,320.0,12.825,313.02,0.2443087982923128,-0.6092802833316036,-0.5500000000000007,178.0,-0.01606764179675471,-0.04199090172523706,-1.0
8,37207031.0,320.0,12.537500000000001,313.03,0.23618403418666853,-0.6136729616331493,-0.28749999999999787,3033.0,-0.008124764105644278,-0.02267223776877917,-1.0
10,37210447.0,320.0,13.375,313.035,0.2603764400890675,-0.6007118642029852,-0.07499999999999929,2968.0,-0.001718880803746492,-0.00559181326577783,-1.0
11,37210700.0,320.0,13.033333333333331,313.035,0.2505691679372478,-0.6056752655275943,-0.34166666666666856,253.0,-0.009807272151819701,-0.025877114458860012,-1.0
13,37211071.0,320.0,12.571428571428571,313.04,0.23734226766294428,-0.6128272005099689,-0.5285714285714302,319.0,-0.015230000208275501,-0.04118556478421285,-1.0
15,37211122.0,320.0,12.5625,313.04,0.23708419914927584,-0.6129752169499625,-0.07083333333333286,43.0,-0.001958202238389356,-0.005622637600976469,-1.0
19,37213077.0,320.0,13.350000000000001,313.055,0.26000429678707404,-0.6005657161807676,-0.07499999999999929,8.0,-0.002148180548972589,-0.005602255548669787,-1.0
20,37214318.0,320.0,12.649999999999999,313.02,0.2392586514946986,-0.6120909973317268,-0.7000000000000028,1241.0,-0.020745645292375436,-0.053859169672729544,-1.0
21,37214338.0,320.0,12.533333333333333,313.02,0.2358859504236901,-0.6140250675559678,-0.11666666666666536,20.0,-0.0033727010710085104,-0.00926545344579001,-1.0
25,37214712.0,320.0,12.8125,313.03,0.24412408514640818,-0.609207325193406,-0.6374999999999993,7.0,-0.018315002061810165,-0.04855784914922113,-1.0
29,37214930.0,320.0,13.175,313.03,0.2545529563978011,-0.6037038449005827,-0.2749999999999986,64.0,-0.007886130810417225,-0.020658011620421985,-1.0
31,37217288.0,320.0,12.825,313.03,0.24448438640269732,-0.6090105520299538,-0.625,1.0,-0.01795470080552103,-0.047582714991014866,-1.0
35,37217841.0,320.0,13.350000000000001,313.06,0.26009032153065337,-0.6004414207767539,-0.07499999999999929,171.0,-0.0021479721099329496,-0.005602255548669787,-1.0
37,37218621.0,320.0,13.350000000000001,313.035,0.2596599350564153,-0.6010637297341859,-0.07499999999999929,689.0,-0.002578358584170992,-0.005602255548669787,-1.0
38,37218652.0,320.0,12.8125,313.035,0.24421187594302424,-0.6090723477059967,-0.5375000000000014,31.0,-0.015448059113391088,-0.04109512794763175,-1.0
40,37219110.0,320.0,13.175,313.025,0.25446626606451367,-0.6038318080068272,-0.2749999999999986,30.0,-0.007886918489892702,-0.020658011620421985,-1.0
43,37219468.0,320.0,13.375,313.025,0.2602042423599715,-0.600960493211744,-0.07499999999999929,68.0,-0.002148942194434844,-0.00559181326577783,-1.0
44,37219739.0,320.0,12.825,313.03,0.24448438640269732,-0.6090105520299538,-0.5500000000000007,271.0,-0.01571985595727421,-0.04199090172523706,-1.0
46,37220197.0,320.0,13.033333333333331,313.02,0.25030781168900185,-0.6060672155084212,-0.41666666666666785,374.0,-0.012045372865404524,-0.03146892772463786,-1.0
47,37220198.0,320.0,12.825,313.02,0.2443087982923128,-0.6092802833316036,-0.20833333333333215,1.0,-0.00599901339668904,-0.016113787266377078,-1.0
50,37227392.0,320.0,12.725,313.065,0.24221646157324214,-0.6096439160727662,-0.12500000000000178,7114.0,-0.0028129491309575594,-0.009775248904642554,-1.0
53,37234407.0,320.0,13.3,313.085,0.2590879486188345,-0.6005213026170964,-0.07499999999999929,6687.0,-0.0018044558311924308,-0.00562325755436212,-1.0
54,37235314.0,320.0,12.774999999999999,313.095,0.24418345491156043,-0.6080436095394326,-0.5250000000000021,907.0,-0.014904493707274064,-0.04027389913794008,-1.0
57,37239027.0,320.0,12.875,312.935,0.24425534599690982,-0.6107872786285107,-0.47499999999999964,2451.0,-0.014109459037469158,-0.036228938296458665,-1.0
58,37239058.0,320.0,12.725000000000001,312.935,0.23992125872527606,-0.6132182572589073,-0.14999999999999858,31.0,-0.0043340872716337575,-0.011718884113213262,-1.0
61,37240447.0,320.0,13.175,312.92,0.25263940049982836,-0.6065395516577254,-0.1999999999999993,134.0,-0.00575036642178306,-0.015066198354644178,-1.0
63,37241789.0,320.0,13.175,312.915,0.25255210080616364,-0.6066694789971017,-0.1999999999999993,593.0,-0.005837666115447782,-0.015066198354644178,-1.0
65,37245245.0,320.0,13.149999999999999,312.92,0.25191976705528746,-0.6069165190480952,-0.20000000000000107,285.0,-0.005665068529678907,-0.015094626222485016,-1.0
67,37247716.0,320.0,13.35,312.915,0.25758483558496637,-0.6040801181080191,0.0,2468.0,-8.677133371826073e-05,0.0,-1.0
68,37247955.0,320.0,13.149999999999999,312.915,0.2518323898548893,-0.6070469267524636,-0.20000000000000107,239.0,-0.005752445730077049,-0.015094626222485016,-1.0
69,37248295.0,320.0,12.9,312.91,0.24453618091661336,-0.6110662503150621,-0.24999999999999822,340.0,-0.007296208938275955,-0.019194447256146954,-1.0
71,37248590.0,320.0,12.9,312.91,0.24453618091661336,-0.6110662503150621,-0.375,293.0,-0.010805852195352267,-0.02865525576037606,-1.0
75,37258719.0,320.0,13.225,312.93,0.25425230788827036,-0.6055336558356217,-0.27500000000000036,8505.0,-0.006254301937305418,-0.020580707700020687,-1.0
77,37259254.0,320.0,12.7625,312.935,0.24100551767484787,-0.6126031226397544,-0.6374999999999993,99.0,-0.018275401581274803,-0.0487435234660817,-1.0
81,37260083.0,320.0,12.8625,312.89,0.24309942832757914,-0.6122136205774176,-0.5625,6.0,-0.016206415152306697,-0.042802539234760434,-1.0
84,37261003.0,320.0,13.375,312.865,0.2574346012244182,-0.604984382489171,-0.09999999999999964,153.0,-0.002527133582826746,-0.007448824012990625,-1.0
85,37262411.0,320.0,12.825,312.915,0.24245795922961982,-0.6121363047421724,-0.5500000000000007,1408.0,-0.014976641994798368,-0.04199090172523706,-1.0
87,37262821.0,320.0,13.225,312.885,0.25346749002859204,-0.606696064950718,-0.15000000000000036,12.0,-0.00431482428100749,-0.01127831503770719,-1.0
89,37267477.0,320.0,13.225,312.87,0.2532053811433483,-0.6070851516708942,-0.15000000000000036,1.0,-0.004316189239459367,-0.01127831503770719,-1.0
90,37267576.0,320.0,12.9,312.87,0.24382941104348477,-0.6121539456918512,-0.3249999999999993,99.0,-0.009375970099863518,-0.02488166637673655,-1.0
95,37287874.0,320.0,12.849999999999998,312.925,0.24335698828067265,-0.6114594628147785,-0.6000000000000014,33.0,-0.017272657897670296,-0.04563529470661946,-1.0
98,37294073.0,320.0,12.825,312.975,0.24351719097337843,-0.6104989335359967,-0.625,214.0,-0.017889346417053087,-0.047582714991014866,-1.0
100,37312447.0,320.0,12.875,312.91,0.24381416684018922,-0.611466487804968,-0.4250000000000007,6699.0,-0.012767989357908932,-0.03247658867790831,-1.0
102,37322125.0,320.0,12.8375,312.8400000000001,0.24148964332055634,-0.6139971500024544,-0.46250000000000036,9609.0,-0.014571239855103058,-0.03539345997303147,-1.0
105,37324975.0,320.0,13.5,312.72,0.25850360030986747,-0.6068325727047963,-0.02499999999999858,19.0,-0.0007200530533425509,-0.001850139288161366,-1.0
107,37334774.0,320.0,13.05,312.7000000000001,0.2451530744276722,-0.6143587555664354,-0.47499999999999787,9764.0,-0.014070578935537814,-0.03575169096384269,-1.0
109,37337758.0,320.0,13.5,312.695,0.25806624630447694,-0.6074703641145263,0.0,2975.0,-8.752616738094687e-05,0.0,-1.0
110,37338015.0,320.0,13.049999999999999,312.695,0.24506407870768404,-0.614495388748626,-0.45000000000000107,257.0,-0.013002167596792902,-0.03390155167568146,-1.0
112,37340568.0,320.0,13.325,312.74,0.2538094287632143,-0.6089491744216247,-0.15000000000000036,85.0,-0.0042362402295109125,-0.011194146743152587,-1.0
114,37369194.0,320.0,13.375,312.655,0.25375682255542864,-0.6104010996367926,-0.09999999999999964,25186.0,-0.004550907578541097,-0.007448824012990625,-1.0
116,37369912.0,320.0,13.399999999999999,312.62,0.25386160838418487,-0.6109309600615731,-0.15000000000000213,348.0,-0.004331397984444263,-0.011131840368844407,-1.0
118,37371286.0,320.0,13.45,312.5900000000001,0.25477698106146973,-0.610942000910164,-0.07499999999999929,1031.0,-0.0025188038125430467,-0.005560718684697065,-1.0
121,37424721.0,320.0,13.4,312.8300000000001,0.25754436890337623,-0.60550780441746,-0.15000000000000036,43805.0,-0.001174954339221268,-0.011131840368844294,-1.0
123,37451099.0,320.0,13.225,313.12,0.2575415270428128,-0.6007041693632864,-0.025000000000000355,7.0,-0.0007161400840031695,-0.0018885746878681362,-1.0
124,37461139.0,320.0,13.1,313.115,0.25387186273728957,-0.6026234575062794,-0.125,10040.0,-0.0036696643055232347,-0.009496747537257197,-1.0
