,Bid_time,Price_strike,Mid_price,Underlying_mid_price,Mid_IV,Delta,Mid_price_diff,Bid_time_diff,Mid_IV_diff,Mid_price_ret,Mid_IV_diff_sign
3,37201637.0,320.0,13.45,313.045,0.2626966398856357,-0.5994207748369895,0.6499999999999986,326.0,0.018581757032101437,0.04953393512227642,1.0
5,37202287.0,320.0,13.45,313.045,0.2626966398856357,-0.5994207748369895,0.07499999999999929,249.0,0.0021481070336677455,0.005591813265777713,1.0
9,37207479.0,320.0,13.45,313.01,0.262095320892814,-0.6002821698263716,0.9124999999999979,448.0,0.02591128670614548,0.07025495275979408,1.0
12,37210752.0,320.0,13.100000000000001,313.04,0.2525722678712198,-0.6045506468705497,0.06666666666666998,52.0,0.0020030999339719635,0.005102051883895773,1.0
14,37211079.0,320.0,12.633333333333333,313.035,0.2390424013876652,-0.6119475805386188,0.061904761904761685,8.0,0.0017001337247209147,0.0049121579973777675,1.0
17,37211417.0,320.0,13.375,313.03,0.26029035436051584,-0.6008361371888427,0.8125,295.0,0.023206155211240004,0.06267110696277577,1.0
18,37213069.0,320.0,13.425,313.055,0.26215247733604663,-0.5995204529282816,0.05000000000000071,1652.0,0.0018621229755307889,0.003731347612858184,1.0
22,37214341.0,320.0,13.05,313.02,0.25078714965265686,-0.6058161203259971,0.5166666666666675,3.0,0.014901199228966766,0.04039637204096336,1.0
23,37214342.0,320.0,13.15,313.02,0.25366143546784853,-0.6043273581061825,0.09999999999999964,1.0,0.0028742858151916684,0.007633624855071205,1.0
24,37214705.0,320.0,13.45,313.03,0.26243908720821835,-0.5997894560247907,0.29999999999999893,363.0,0.008777651740369818,0.022557347424074527,1.0
26,37214761.0,320.0,12.850000000000001,313.03,0.24520483607020513,-0.6086185643086495,0.03750000000000142,49.0,0.001080750923796947,0.0029225544426018666,1.0
27,37214865.0,320.0,13.375,313.03,0.26029035436051584,-0.6008361371888427,0.5249999999999986,104.0,0.015085518290310712,0.0400434814408413,1.0
28,37214866.0,320.0,13.45,313.03,0.26243908720821835,-0.5997894560247907,0.07499999999999929,1.0,0.002148732847702506,0.005591813265777713,1.0
30,37217287.0,320.0,13.45,313.03,0.26243908720821835,-0.5997894560247907,0.2749999999999986,2357.0,0.007886130810417225,0.02065801162042198,1.0
32,37217550.0,320.0,12.825000000000001,313.06,0.24501044756413232,-0.6082036954538239,1.7763568394002505e-15,262.0,0.0005260611614349986,2.2204460492503128e-16,1.0
33,37217594.0,320.0,13.15,313.06,0.25435500576200687,-0.6033016926354939,0.3249999999999993,44.0,0.009344558197874553,0.02502536756694016,1.0
34,37217670.0,320.0,13.425,313.06,0.2622382936405863,-0.5993974562583659,0.27500000000000036,76.0,0.007883287878579448,0.02069688177115495,1.0
36,37217932.0,320.0,13.425,313.06,0.2622382936405863,-0.5993974562583659,0.07499999999999929,91.0,0.0021479721099329496,0.0056022555486697516,1.0
39,37219080.0,320.0,13.45,313.025,0.26235318455440637,-0.5999125122431614,0.6374999999999993,428.0,0.018141308611382134,0.04855784914922121,1.0
41,37219152.0,320.0,13.375,313.025,0.2602042423599715,-0.600960493211744,0.1999999999999993,42.0,0.005737976295457858,0.015066198354644183,1.0
42,37219400.0,320.0,13.45,313.025,0.26235318455440637,-0.5999125122431614,0.07499999999999929,248.0,0.002148942194434844,0.005591813265777713,1.0
45,37219823.0,320.0,13.45,313.025,0.26235318455440637,-0.5999125122431614,0.625,84.0,0.017868798151709053,0.047582714991014935,1.0
48,37220278.0,320.0,12.850000000000001,313.02,0.2450294107041997,-0.6088872663530864,0.02500000000000213,80.0,0.0007206124118868951,0.0019474202843956288,1.0
51,37227410.0,320.0,13.15,313.065,0.25444157905989795,-0.6031738810201581,0.4250000000000007,18.0,0.012225117486655807,0.032853196187187156,1.0
52,37227720.0,320.0,13.375,313.065,0.2608924044500269,-0.5999679641130129,0.22499999999999964,310.0,0.006450825390128978,0.01696553415829667,1.0
55,37236119.0,320.0,13.3,312.9650000000001,0.2570158013063675,-0.6035388044575818,0.5250000000000021,805.0,0.012832346394807043,0.040273899137940106,1.0
56,37236576.0,320.0,13.35,312.9600000000001,0.258364805034379,-0.6029432387263611,0.049999999999998934,457.0,0.0013490037280114997,0.003752349618550372,1.0
59,37240290.0,320.0,13.35,312.92,0.2576716069186846,-0.603953454978523,0.6249999999999982,1232.0,0.017750348193408566,0.04794782240967195,1.0
60,37240313.0,320.0,13.375,312.92,0.2583897669216114,-0.6035913435434637,0.025000000000000355,23.0,0.0007181600029267932,0.001870907935811824,1.0
62,37241196.0,320.0,13.375,312.92,0.2583897669216114,-0.6035913435434637,0.1999999999999993,749.0,0.00575036642178306,0.015066198354644183,1.0
64,37244960.0,320.0,13.35,312.915,0.25758483558496637,-0.6040801181080191,0.17499999999999893,3171.0,0.005032734778802728,0.013195290418832424,1.0
