,Bid_time,Price_strike,Mid_price,Underlying_mid_price,Mid_IV,Delta,Mid_price_diff,Bid_time_diff,Mid_IV_diff,Mid_price_ret,Mid_IV_diff_sign
3,44400136.0,312.5,10.55,316.665,0.2291934529420192,0.5921946834072322,0.025000000000000355,10.0,0.0007044577397704865,0.0023724803536303955,1.0
6,44400267.0,312.5,10.55,316.665,0.2291934529420192,0.5921946834072322,0.05000000000000071,50.0,0.0014090006406482225,0.004750602758597799,1.0
8,44400331.0,312.5,10.55,316.665,0.2291934529420192,0.5921946834072322,0.05000000000000071,33.0,0.0014090006406482225,0.004750602758597799,1.0
11,44400508.0,312.5,10.5,316.675,0.22761739611405216,0.5928307808801492,0.8874999999999993,6.0,0.02524771761657038,0.08831092233171521,1.0
12,44400526.0,312.5,10.5125,316.675,0.22796971698567,0.5927293692173485,0.01249999999999929,18.0,0.00035232087161785053,0.0011897681355887508,1.0
13,44400547.0,312.5,10.55,316.675,0.2290265507001148,0.5924273704718708,0.03750000000000142,21.0,0.0010568337144447881,0.0035608346230091817,1.0
15,44400610.0,312.5,10.524999999999999,316.675,0.22832201630341703,0.5926283314270364,0.6083333333333325,45.0,0.017172308369379385,0.05953653624491605,1.0
17,44400630.0,312.5,10.525,316.675,0.22832201630341706,0.592628331427214,0.45000000000000107,9.0,0.012697157757071587,0.04369627173569863,1.0
19,44400654.0,312.5,10.525,316.675,0.22832201630341706,0.592628331427214,0.7750000000000004,14.0,0.021887768416019443,0.07648609455868925,1.0
20,44400691.0,312.5,10.55,316.675,0.2290265507001148,0.5924273704718708,0.025000000000000355,37.0,0.0007045343966977369,0.0023724803536303955,1.0
22,44400807.0,312.5,10.55,316.675,0.2290265507001148,0.5924273704718708,0.02500000000000213,83.0,0.0007045343966977646,0.002372480353630617,1.0
25,44400943.0,312.5,10.55,316.675,0.2290265507001148,0.5924273704718708,0.75,1.0,0.0211771301843586,0.0737434742455492,1.0
27,44400972.0,312.5,10.55,316.675,0.2290265507001148,0.5924273704718708,0.025000000000000355,6.0,0.0007045343966977369,0.0023724803536303955,1.0
29,44401029.0,312.5,10.55,316.675,0.2290265507001148,0.5924273704718708,0.02142857142857224,36.0,0.0006038813928113673,0.0020332097820980445,1.0
31,44401040.0,312.5,10.525,316.675,0.22832201630341706,0.592628331427214,0.00833333333333286,3.0,0.0002348638221990329,0.0007920792493326198,1.0
32,44401095.0,312.5,10.55,316.68,0.22894306818260832,0.5925438408485029,0.025000000000000355,55.0,0.0006210518791912589,0.0023724803536303955,1.0
34,44401137.0,312.5,10.55,316.7050000000001,0.22852534058120524,0.5931274657393182,0.025000000000000355,8.0,0.000621140278951493,0.0023724803536303955,1.0
35,44401151.0,311.3888888888889,11.238888888888889,316.69,0.23012466099164125,0.6130682108222096,0.6888888888888882,14.0,0.001599320410436006,0.06325412635545943,1.0
38,44401188.0,312.5,10.524999999999999,316.69,0.2280713900499701,0.592979374997249,0.02499999999999858,17.0,0.0007047369209354504,0.0023781224049671977,1.0
39,44401190.0,312.5,10.55,316.69,0.22877604022364376,0.592777035861225,0.02500000000000213,2.0,0.0007046501736736599,0.002372480353630617,1.0
41,44401238.0,312.5,10.55,316.69,0.22877604022364376,0.592777035861225,0.05000000000000071,30.0,0.0014093870946091103,0.004750602758597799,1.0
43,44401251.0,312.5,10.5375,316.69,0.22842372592688664,0.5928780189431215,0.00416666666666643,8.0,0.00011744288926551771,0.00039549140321705326,1.0
45,44401255.0,312.5,10.55,316.69,0.22877604022364376,0.592777035861225,0.9500000000000011,3.0,0.026845870543416084,0.09436276144828508,1.0
47,44401267.0,312.5,10.55,316.69,0.22877604022364376,0.592777035861225,0.4750000000000014,3.0,0.013404065868369397,0.04606875208932893,1.0
49,44401338.0,312.5,10.55,316.69,0.22877604022364376,0.592777035861225,0.5500000000000007,10.0,0.01552375347909632,0.05354076692802997,1.0
51,44401435.0,312.5,10.55,316.695,0.2286924947296897,0.592893760724511,0.009999999999999787,12.0,0.00028186519792888776,0.00094831680885926,1.0
52,44401446.0,312.5,10.57,316.7000000000001,0.22917264815791535,0.5928490365382899,0.019999999999999574,11.0,0.0004801534282256603,0.0018939399600707832,1.0
54,44401478.0,312.5,10.566666666666666,316.7000000000001,0.22907869865752534,0.5928758928892996,0.01666666666666572,27.0,0.00046977046652255106,0.001578532293049568,1.0
56,44401704.0,312.5,10.566666666666668,316.695,0.22916223943241398,0.5927593885873605,0.016666666666667496,209.0,0.0005533112414111974,0.0015785322930497896,1.0
59,44401868.0,312.5,10.55,316.695,0.2286924947296897,0.592893760724511,0.4750000000000014,1.0,0.013404861495105419,0.04606875208932893,1.0
61,44401982.0,312.5,10.55,316.695,0.2286924947296897,0.592893760724511,0.012500000000001066,21.0,0.0003523336591257642,0.0011855365941017652,1.0
62,44402027.0,312.5,10.566666666666668,316.695,0.22916223943241398,0.5927593885873605,0.016666666666667496,45.0,0.0004697447027242896,0.0015785322930497896,1.0
64,44402078.0,312.5,10.566666666666668,316.695,0.22916223943241398,0.5927593885873605,0.016666666666667496,48.0,0.0004697447027242896,0.0015785322930497896,1.0
68,44402138.0,312.5,10.533333333333333,316.685,0.22838983327666176,0.5927948165441954,-0.3589743589743595,2.0,0.00235776072063118,-0.03351199187332592,1.0
69,44402153.0,312.5,10.55,316.685,0.2288595646991917,0.5926603959411025,0.016666666666667496,15.0,0.0004697314225299287,0.0015810279973187732,1.0
71,44402156.0,312.5,10.55,316.685,0.2288595646991917,0.5926603959411025,0.025000000000000355,1.0,0.0007046114754954147,0.0023724803536303955,1.0
73,44402177.0,312.5,10.55,316.685,0.2288595646991917,0.5926603959411025,0.025000000000000355,19.0,0.0007046114754954147,0.0023724803536303955,1.0
75,44402198.0,312.5,10.54375,316.685,0.2286834198865152,0.5927107262862386,0.018749999999998934,12.0,0.0005284666628189161,0.0017798877436962146,1.0
77,44402213.0,312.5,10.55,316.685,0.2288595646991917,0.5926603959411025,0.05000000000000071,4.0,0.001409309379083068,0.004750602758597799,1.0
79,44402436.0,312.5,10.533333333333333,316.69,0.22830628303762113,0.5929117627667679,0.00833333333333286,72.0,0.0001513298139248498,0.0007914523563115516,1.0
80,44402442.0,312.5,10.55,316.69,0.22877604022364376,0.592777035861225,0.016666666666667496,6.0,0.00046975718602262906,0.0015810279973187732,1.0
82,44402629.0,312.5,10.575,316.69,0.22948060449923638,0.5925761816516939,0.049999999999998934,54.0,0.0014092144492662828,0.004739345363896347,1.0
84,44402744.0,312.5,10.575,316.69,0.22948060449923638,0.5925761816516939,0.02499999999999858,78.0,0.0007045642755926229,0.0023668650102660225,1.0
88,44403236.0,312.5,10.535714285714286,316.685,0.22845694010380668,0.5927755731326201,0.035714285714286476,41.0,0.0010066847836980586,0.0033955890011383287,1.0
89,44403238.0,312.5,10.55,316.685,0.2288595646991917,0.5926603959411025,0.014285714285714235,2.0,0.0004026245953850094,0.0013550137574595796,1.0
91,44403252.0,312.5,10.525,316.685,0.22815495322369628,0.5928622750463575,0.5000000000000018,13.0,0.01411158889631206,0.048671406375812444,1.0
92,44403263.0,312.5,10.55,316.685,0.2288595646991917,0.5926603959411025,0.025000000000000355,11.0,0.0007046114754954147,0.0023724803536303955,1.0
94,44403280.0,312.5,10.575,316.685,0.2295640905923442,0.5924599983217149,0.049999999999998934,11.0,0.0014091373686479225,0.004739345363896347,1.0
97,44403316.0,312.5,10.525,316.685,0.22815495322369628,0.5928622750463575,0.025000000000000355,1.0,0.0007046979035876533,0.0023781224049674193,1.0
99,44403361.0,312.5,10.575,316.685,0.2295640905923442,0.5924599983217149,0.07499999999999929,40.0,0.0021138352722355758,0.007117467768863955,1.0
101,44403516.0,312.5,10.55,316.685,0.2288595646991917,0.5926603959411025,0.025000000000000355,151.0,0.0007046114754954147,0.0023724803536303955,1.0
103,44403610.0,312.5,10.5,316.675,0.22761739611405216,0.5928307808801492,0.4750000000000014,19.0,0.01357403178666794,0.04629328397084485,1.0
104,44403633.0,312.5,10.525,316.68,0.2282384952993609,0.5927452605605232,0.025000000000000355,23.0,0.0006210991853087544,0.0023781224049674193,1.0
106,44403660.0,312.5,10.525,316.68,0.2282384952993609,0.5927452605605232,0.025000000000000355,25.0,0.000704658993142343,0.0023781224049674193,1.0
108,44403708.0,312.5,10.524999999999999,316.68,0.2282384952993609,0.5927452605605232,0.02499999999999858,47.0,0.000704658993142343,0.0023781224049671977,1.0
109,44403716.0,312.5,10.55,316.68,0.22894306818260832,0.5925438408485029,0.02500000000000213,8.0,0.0007045728832474063,0.002372480353630617,1.0
115,44404516.0,312.5,10.55,316.68,0.22894306818260832,0.5925438408485029,0.02500000000000213,291.0,0.0007045728832474063,0.002372480353630617,1.0
117,44404627.0,312.5,10.55,316.68,0.22894306818260832,0.5925438408485029,0.012500000000001066,1.0,0.0003522757307843627,0.0011855365941017652,1.0
122,44405033.0,312.5,10.55,316.68,0.22894306818260832,0.5925438408485029,0.025000000000000355,125.0,0.0007045728832474063,0.0023724803536303955,1.0
126,44406765.0,312.5,10.537500000000001,316.68,0.228590792451824,0.592644365082684,0.012500000000001066,387.0,0.0003522971524630991,0.0011869437595288443,1.0
128,44406773.0,312.5,10.55,316.68,0.22894306818260832,0.5925438408485029,0.02500000000000213,4.0,0.0007045728832474063,0.002372480353630617,1.0
131,44406821.0,312.5,10.525,316.68,0.2282384952993609,0.5927452605605232,0.6250000000000018,31.0,0.017644703585033755,0.0612186224279011,1.0
132,44406823.0,312.5,10.55,316.68,0.22894306818260832,0.5925438408485029,0.025000000000000355,2.0,0.0007045728832474063,0.0023724803536303955,1.0
134,44407025.0,312.5,10.575,316.68,0.2296475557982915,0.592343899188208,0.05000000000000071,2.0,0.001409060498930581,0.004739345363896568,1.0
136,44407369.0,311.3888888888889,11.23611111111111,316.67500000000007,0.23030796480610752,0.6127281438273791,0.7111111111111121,342.0,0.0020694695067466073,0.06537941847399145,1.0
141,44407392.0,312.5,10.516666666666667,316.675,0.22808715248121803,0.5926956484992196,0.041666666666666075,4.0,0.0011744631989065168,0.003969834510911016,1.0
142,44407398.0,312.5,10.525,316.675,0.22832201630341706,0.592628331427214,0.00833333333333286,6.0,0.0002348638221990329,0.0007920792493326198,1.0
145,44407442.0,312.5,10.5,316.675,0.22761739611405216,0.5928307808801492,1.0249999999999986,23.0,0.028975334725367896,0.10271850619498751,1.0
146,44407500.0,312.5,10.525,316.675,0.22832201630341706,0.592628331427214,0.025000000000000355,58.0,0.0007046201893649018,0.0023781224049674193,1.0
147,44407576.0,312.5,10.537500000000001,316.68,0.228590792451824,0.592644365082684,0.012500000000001066,76.0,0.00026877614840695174,0.0011869437595288443,1.0
151,44407630.0,312.5,10.075,316.68,0.2155405869799239,0.5966403288971023,0.2749999999999986,1.0,0.007775957153492358,0.027674722156220286,1.0
152,44407633.0,312.5,10.55,316.68,0.22894306818260832,0.5925438408485029,0.4750000000000014,3.0,0.013402481202684419,0.04606875208932893,1.0
155,44407649.0,312.5,10.55,316.68,0.22894306818260832,0.5925438408485029,0.02500000000000213,6.0,0.0007045728832474063,0.002372480353630617,1.0
156,44407708.0,311.7857142857143,10.975,316.67500000000007,0.2294656340173185,0.6056573959630995,0.42499999999999893,59.0,0.0005225658347101925,0.03949409903915936,1.0
159,44407877.0,312.5,10.508333333333333,316.67,0.2279358048169777,0.592645980245532,0.00833333333333286,66.0,0.00023487004673464207,0.0007933360193958741,1.0
160,44407894.0,312.5,10.5125,316.67,0.2280532362534423,0.5926122949642121,0.00416666666666643,17.0,0.00011743143646458787,0.0003964321161928768,1.0
161,44408394.0,311.6666666666667,11.058333333333335,316.67,0.22995510598771846,0.6076134193250482,0.5458333333333361,500.0,0.0019018697342761681,0.050619266251095425,1.0
164,44408723.0,312.5,10.515384615384615,316.67,0.2281345335422529,0.5925889986668764,0.01538461538461533,200.0,0.0004335987720098522,0.001464129104889448,1.0
165,44408735.0,312.5,10.525,316.67,0.2284055162622642,0.5925114875291015,0.009615384615385025,12.0,0.0002709827200113035,0.0009139933000779424,1.0
167,44408761.0,312.5,10.524999999999999,316.67,0.22840551626226416,0.5925114875292792,0.3416666666666668,17.0,0.00963705091268377,0.03300098261895054,1.0
168,44408827.0,312.5,10.525,316.67,0.2284055162622642,0.5925114875291015,1.7763568394002505e-15,66.0,5.551115123125783e-17,2.2204460492503128e-16,1.0
170,44408877.0,312.5,10.533333333333333,316.67999999999995,0.22847336245305916,0.5926779555734285,0.008333333333334636,48.0,6.78461907950012e-05,0.0007914523563117734,1.0
171,44408879.0,312.5,10.541666666666666,316.675,0.22879171538172866,0.592494192928239,0.00833333333333286,2.0,0.0003183529286694964,0.0007908264548177709,1.0
174,44409082.0,312.5,10.575,316.675,0.2297310001430705,0.5922278841412165,0.05000000000000071,104.0,0.0014089838396534604,0.004739345363896568,1.0
177,44409256.0,312.5,10.525,316.675,0.22832201630341706,0.592628331427214,1.7763568394002505e-15,59.0,2.7755575615628914e-17,2.2204460492503128e-16,1.0
179,44409271.0,312.5,10.575,316.675,0.2297310001430705,0.5922278841412165,0.05000000000000071,11.0,0.0014089838396534604,0.004739345363896568,1.0
183,44410402.0,312.5,10.55,316.685,0.2288595646991917,0.5926603959411025,0.02500000000000213,1086.0,0.0005375483957746618,0.002372480353630617,1.0
