,Bid_time,Price_strike,Mid_price,Underlying_mid_price,Mid_IV,Delta,Mid_price_diff,Bid_time_diff,Mid_IV_diff,Mid_price_ret,Mid_IV_diff_sign
4,44400120.0,321.6666666666667,10.783333333333331,316.67,0.2187510952599397,-0.5856405860763303,-0.7500000000000018,1.0,0.0007762080005072336,-0.06723966111676923,1.0
6,44400122.0,322.88461538461536,11.507692307692308,316.665,0.2177359614936952,-0.6095032670984324,0.24697802197802154,1.0,4.894222255938385e-05,0.021695651703028934,1.0
7,44400123.0,321.875,10.91875,316.665,0.21889068996089006,-0.5896571500745296,-0.5889423076923084,1.0,0.0011547284671948599,-0.052534213178610574,1.0
8,44400126.0,321.875,10.95625,316.665,0.2199455614106446,-0.5891162587539078,0.03750000000000142,3.0,0.001054871449754552,0.0034285747871781215,1.0
11,44400144.0,322.5,11.3,316.665,0.21871546582739862,-0.6016497740669813,0.016666666666667496,1.0,0.000472475936475647,0.0014760150281206794,1.0
13,44400155.0,322.5,11.324999999999998,316.665,0.2194240218035921,-0.601249864847464,0.07499999999999751,9.0,0.002126239120798873,0.0066445427186682905,1.0
15,44400165.0,322.5,11.274999999999999,316.665,0.2180067201169649,-0.6020520265417773,0.02499999999999858,1.0,0.0007089374341716637,0.00221975673831281,1.0
17,44400193.0,322.5,11.3,316.665,0.21871546582739862,-0.6016497740669813,0.05000000000000071,26.0,0.0014176831446053861,0.004434597067865775,1.0
19,44400225.0,322.5,11.3125,316.665,0.219069767409023,-0.6014495280106225,0.0625,27.0,0.001771984726229775,0.005540180375615351,1.0
21,44400239.0,321.6666666666667,10.816666666666668,316.665,0.21960450947982796,-0.5853141468719514,-0.4333333333333318,5.0,0.002306726797034725,-0.0392799741684397,1.0
27,44400349.0,322.5,11.3,316.665,0.21871546582739862,-0.6016497740669813,0.05000000000000071,75.0,0.0014176831446053861,0.004434597067865775,1.0
31,44400501.0,322.6666666666667,11.386666666666665,316.675,0.21837902199829454,-0.6048066692341258,0.13666666666666494,141.0,0.0010812393155013034,0.012074951601830157,1.0
32,44400502.0,322.04545454545456,11.10909090909091,316.6850000000002,0.22163026197511485,-0.5910952414442505,-0.2775757575757556,1.0,0.003251239976820308,-0.02467930631313484,1.0
34,44400507.0,321.6666666666667,10.805555555555555,316.675,0.21945693465518903,-0.5851929469224082,-0.6234767025089631,4.0,0.0010483351335042745,-0.056096402223944054,1.0
36,44400509.0,322.22222222222223,11.13888888888889,316.675,0.21922288436440365,-0.5959050158546475,-0.11111111111111072,1.0,0.0017542976314333103,-0.00992563979996993,1.0
37,44400510.0,322.8125,11.612500000000002,316.67500000000007,0.2221876862358412,-0.6053451106755148,0.4736111111111132,1.0,0.00296480187143755,0.04163961528949789,1.0
39,44400518.0,322.5,11.2625,316.675,0.21782299897615404,-0.6019629081731814,0.022499999999999076,3.0,0.0006379766779353035,0.0019997784689111484,1.0
40,44400519.0,322.63157894736844,11.397368421052633,316.67500000000007,0.21930888456419714,-0.6036075193344814,0.13486842105263364,1.0,0.0014858855880431066,0.011903865559739052,1.0
42,44400524.0,322.5,11.291666666666666,316.675,0.21864977511942324,-0.6014938770462663,0.01666666666666572,3.0,0.00047241177709744786,0.0014771051430132233,1.0
44,44400564.0,321.6666666666667,10.774999999999999,316.675,0.21859937563710236,-0.5856186683089071,-0.4750000000000014,34.0,0.001130788904132013,-0.04313949266061782,1.0
47,44400593.0,322.5,11.274999999999999,316.675,0.21817736334232568,-0.6017615022910761,0.02499999999999858,26.0,0.0007087766093553383,0.00221975673831281,1.0
49,44400604.0,322.0,10.979999999999999,316.675,0.2186165359696571,-0.591994507909277,-0.27000000000000135,5.0,0.0011479492366867627,-0.0242926925690447,1.0
50,44400605.0,321.6666666666667,10.783333333333333,316.675,0.2188332754291447,-0.5855022690662182,-0.19666666666666544,1.0,0.0002167394594876082,-0.018073703802584613,1.0
52,44400623.0,322.5,11.275,316.675,0.2181773633423258,-0.6017615022910761,0.025000000000000355,14.0,0.0007087766093554493,0.0022197567383130316,1.0
53,44400632.0,321.875,10.91875,316.675,0.21905653064368122,-0.5893776280163188,-0.35625000000000107,9.0,0.0008791673013554269,-0.032106390488512535,1.0
55,44400634.0,322.5,11.25,316.675,0.21746858673297034,-0.602164906155167,0.07499999999999929,1.0,0.0021274930701978834,0.006688988150796489,1.0
56,44400640.0,322.5,11.658333333333333,316.675,0.22902254381220447,-0.5958576587069331,0.4083333333333332,6.0,0.011553957079234123,0.035653103233006016,1.0
60,44400712.0,322.5,11.266666666666666,316.675,0.2179411257388581,-0.6018957072368991,0.03333333333333144,6.0,0.00094516357327179,0.002962965130656827,1.0
62,44400737.0,322.5,11.266666666666666,316.675,0.2179411257388581,-0.6018957072368991,0.01666666666666572,24.0,0.00047253900588775655,0.001480385170434203,1.0
65,44400807.0,322.5,11.25,316.675,0.21746858673297034,-0.602164906155167,0.05000000000000071,16.0,0.0014181327940054056,0.004454350349380375,1.0
66,44400809.0,322.5,11.26,316.675,0.21775212036569158,-0.6020032603066383,0.009999999999999787,2.0,0.000283533632721239,0.0008884940611152349,1.0
68,44400852.0,322.5,11.274999999999999,316.675,0.21817736334232568,-0.6017615022910761,0.02499999999999858,42.0,0.0007087766093553383,0.00221975673831281,1.0
70,44400941.0,322.5,11.275,316.675,0.2181773633423258,-0.6017615022910761,0.025000000000000355,49.0,0.0007087766093554493,0.0022197567383130316,1.0
73,44400990.0,322.5,11.274999999999999,316.675,0.21817736334232568,-0.6017615022910761,0.02499999999999858,46.0,0.0007087766093553383,0.00221975673831281,1.0
74,44400993.0,322.14285714285717,11.064285714285715,316.67500000000007,0.218505088251915,-0.594781170907055,-0.21071428571428363,3.0,0.000327724909589322,-0.018865467581177554,1.0
