,Bid_time,Price_strike,Mid_price,Underlying_mid_price,Mid_IV,Delta,Mid_price_diff,Bid_time_diff,Mid_IV_diff,Mid_price_ret,Mid_IV_diff_sign
5,52501142.0,312.5,10.825,317.335,0.2256232720164707,0.6057642379519557,0.05000000000000071,4.0,0.001418529376743416,0.004629637898742197,1.0
8,52501151.0,312.5,10.774999999999999,317.335,0.22420474263972728,0.6062593256182858,0.02499999999999858,3.0,0.0007094500058607567,0.002322881416139507,1.0
9,52501155.0,312.5,10.7875,317.335,0.22455942108013277,0.6061348739764938,0.012500000000001066,4.0,0.000354678440405487,0.0011594204197349384,1.0
12,52501192.0,312.5,10.774999999999999,317.335,0.22420474263972728,0.6062593256182858,0.02499999999999858,21.0,0.0007094500058607567,0.002322881416139507,1.0
13,52501193.0,312.5,10.8,317.335,0.22491406868679056,0.6060108769399442,0.02500000000000213,1.0,0.0007093260470632801,0.002317498140362704,1.0
16,52501246.0,312.5,10.774999999999999,317.335,0.22420474263972728,0.6062593256182858,0.02499999999999858,8.0,0.0007094500058607567,0.002322881416139507,1.0
18,52501262.0,312.5,10.775,317.335,0.2242047426397273,0.6062593256183746,0.025000000000000355,11.0,0.0007094500058607844,0.0023228814161397287,1.0
21,52501419.0,312.5,10.774999999999999,317.335,0.22420474263972728,0.6062593256182858,0.02499999999999858,135.0,0.0007094500058607567,0.002322881416139507,1.0
23,52501486.0,312.5,10.774999999999999,317.335,0.22420474263972728,0.6062593256182858,0.02499999999999858,60.0,0.0007094500058607567,0.002322881416139507,1.0
24,52501496.0,312.5,10.775,317.335,0.2242047426397273,0.6062593256183746,1.7763568394002505e-15,10.0,2.7755575615628914e-17,2.2204460492503128e-16,1.0
27,52501894.0,312.5,10.775,317.335,0.2242047426397273,0.6062593256183746,0.025000000000000355,32.0,0.0007094500058607844,0.0023228814161397287,1.0
30,52502285.0,312.5,10.775,317.345,0.22403266602536864,0.6065072942040395,0.025000000000000355,138.0,0.0005373733915021162,0.0023228814161397287,1.0
32,52502350.0,312.5,10.8,317.345,0.22474209272679108,0.6062578201996516,0.02500000000000213,8.0,0.0007094267014224886,0.002317498140362704,1.0
36,52502467.0,312.5,10.774999999999999,317.3400000000001,0.2241187161930408,0.6063832624343846,-1.7763568394002505e-15,88.0,8.605016767215812e-05,-1.1102230246251565e-16,1.0
40,52502621.0,312.5,10.825,317.3400000000001,0.22553734567571493,0.6058871542247601,0.049999999999998934,74.0,0.0014186294826741275,0.004629637898741976,1.0
42,52502638.0,312.5,10.8,317.3400000000001,0.22482809250254857,0.606134301466632,0.025000000000000355,3.0,0.0007093763095077643,0.0023174981403624824,1.0
47,52502712.0,312.5,10.774999999999999,317.335,0.22420474263972728,0.6062593256182858,0.01249999999999929,48.0,0.00035470942984436316,0.0011607662359622872,1.0
49,52503336.0,312.5,10.774999999999999,317.325,0.2243767244969618,0.6060117363127837,0.02499999999999858,598.0,0.0008814318630952778,0.002322881416139507,1.0
53,52503456.0,312.5,10.8,317.325,0.22508595040634566,0.6057643099785182,0.05000000000000071,77.0,0.0014185749338519738,0.004640379556502301,1.0
55,52504002.0,312.5,10.8,317.3300000000001,0.22500002131093527,0.6058875464886704,0.05000000000000071,479.0,0.0013326458384415873,0.004640379556502301,1.0
57,52504166.0,312.5,10.774999999999999,317.3300000000001,0.2242907453971467,0.6061354836229604,0.02499999999999858,64.0,0.0007093994500894929,0.002322881416139507,1.0
60,52504387.0,312.5,10.766666666666666,317.3300000000001,0.2240542927015818,0.6062185336111803,0.01666666666666572,1.0,0.0004729467545246113,0.0015491869868293187,1.0
61,52504388.0,312.5,10.766666666666667,317.3300000000001,0.22405429270158184,0.6062185336111803,1.7763568394002505e-15,1.0,2.7755575615628914e-17,2.2204460492503128e-16,1.0
62,52504389.0,312.5,10.825,317.3300000000001,0.22570917492503303,0.6056414150178213,0.058333333333331794,1.0,0.0016548822234511984,0.00540333232805222,1.0
66,52504472.0,312.5,10.775,317.3300000000001,0.22429074539714675,0.6061354836229604,0.012500000000001066,13.0,0.00035468420507400733,0.0011607662359622872,1.0
67,52504872.0,312.5,10.774999999999999,317.325,0.2243767244969618,0.6060117363127837,-1.7763568394002505e-15,400.0,8.597909981505891e-05,-1.1102230246251565e-16,1.0
68,52505030.0,312.5,10.775,317.325,0.2243767244969619,0.6060117363126949,1.7763568394002505e-15,158.0,8.326672684688674e-17,2.2204460492503128e-16,1.0
70,52506161.0,312.5,10.762500000000001,317.32499999999993,0.22402206545174533,0.6061361305419233,0.012500000000001066,175.0,0.00035468997925164336,0.0011621151801775185,1.0
72,52506739.0,312.5,10.775,317.325,0.2243767244969619,0.6060117363126949,0.025000000000000355,562.0,0.0007093490244682032,0.0023228814161397287,1.0
76,52507735.0,312.5,10.774999999999999,317.325,0.2243767244969618,0.6060117363127837,0.02499999999999858,851.0,0.00070934902446812,0.002322881416139507,1.0
77,52507765.0,312.5,10.775,317.325,0.2243767244969619,0.6060117363126949,1.7763568394002505e-15,30.0,8.326672684688674e-17,2.2204460492503128e-16,1.0
80,52507850.0,312.5,10.775,317.35,0.22394659210491336,0.6066314210647406,0.025000000000000355,24.0,0.000279216632419671,0.0023228814161397287,1.0
81,52507858.0,312.5,10.8,317.35,0.2246560693280225,0.6063814332751605,0.025000000000000355,8.0,0.0007094772231091562,0.0023174981403624824,1.0
83,52507991.0,312.5,10.8,317.35,0.2246560693280225,0.6063814332751605,0.02500000000000213,129.0,0.0007094772231092394,0.002317498140362704,1.0
88,52508046.0,312.5,10.8,317.35,0.2246560693280225,0.6063814332751605,0.02500000000000213,8.0,0.0007094772231092394,0.002317498140362704,1.0
94,52508158.0,312.5,10.825,317.35,0.2253654225730603,0.6061332673090725,0.02499999999999858,84.0,0.0007954002983747155,0.0023121397583793788,1.0
99,52508821.0,312.5,10.8,317.35,0.2246560693280225,0.6063814332751605,0.008333333333334636,1.0,0.00023647857068331835,0.0007719027785819664,1.0
100,52508822.0,312.5,10.806249999999999,317.34999999999997,0.22483341921353495,0.6063192216736013,0.006249999999997868,1.0,0.00017734988551243447,0.000578536319289365,1.0
104,52509629.0,312.5,10.825,317.35,0.2253654225730603,0.6061332673090725,0.02499999999999858,802.0,0.0007093532450377915,0.0023121397583793788,1.0
106,52509792.0,312.5,10.816666666666668,317.35,0.22512898518988222,0.6062157879556551,0.016666666666667496,9.0,0.0004729158618597129,0.0015420203518154184,1.0
113,52509889.0,312.5,10.816666666666668,317.35,0.22512898518988222,0.6062157879556551,0.016666666666667496,9.0,0.0004729158618597129,0.0015420203518154184,1.0
115,52509995.0,312.5,10.8,317.35,0.2246560693280225,0.6063814332751605,0.016666666666667496,1.0,0.0004729709628829293,0.0015444018513742074,1.0
116,52510568.0,312.5,10.816666666666668,317.35,0.22512898518988222,0.6062157879556551,0.016666666666667496,573.0,0.0004729158618597129,0.0015420203518154184,1.0
119,52512019.0,312.5,10.8,317.35,0.2246560693280225,0.6063814332751605,0.05000000000000071,5.0,0.001419079680226032,0.004640379556502301,1.0
123,52512194.0,312.5,10.805555555555555,317.365,0.2245555354839883,0.6066971932254361,0.005555555555554648,30.0,0.00015767840626226826,0.0005142710321620995,1.0
124,52512212.0,312.5,10.81,317.365,0.224681673764998,0.6066527409625877,0.004444444444445139,18.0,0.00012613828100971336,0.00041122648878077334,1.0
126,52512233.0,312.5,10.816666666666668,317.365,0.22487087379639534,0.6065861708011155,0.016666666666667496,11.0,0.0004730167186693113,0.0015420203518154184,1.0
128,52512236.0,312.5,10.8125,317.365,0.22475262481503913,0.6066277619453331,0.01249999999999929,2.0,0.0003547677373131053,0.0011567381278237332,1.0
130,52512251.0,312.5,10.8,317.365,0.22439785707772603,0.6067528399027466,0.025000000000000355,4.0,0.0007096295698297284,0.0023174981403624824,1.0
140,52512968.0,312.5,10.825,317.365,0.22510736139729218,0.6065031402853194,0.02499999999999858,717.0,0.000709504319566151,0.0023121397583793788,1.0
142,52513050.0,312.5,10.825,317.365,0.22510736139729218,0.6065031402853194,0.02499999999999858,30.0,0.000709504319566151,0.0023121397583793788,1.0
144,52513264.0,312.5,10.8125,317.36,0.22483869397586492,0.6065041215210343,0.01249999999999929,147.0,0.0004408368981388966,0.0011567381278237332,1.0
147,52515619.0,312.5,10.825,317.36,0.22519340536724672,0.606379755334796,0.01249999999999929,2355.0,0.00035471139138179564,0.0011554016305556677,1.0
149,52515861.0,312.5,10.825,317.355,0.2252794257487042,0.6062564643880997,0.02499999999999858,105.0,0.0007954742135521109,0.0023121397583793788,1.0
154,52515948.0,312.5,10.8,317.36,0.22448395153515208,0.6066289429909943,0.025000000000000355,47.0,0.0006234571353366802,0.0023174981403624824,1.0
159,52517142.0,312.5,10.825,317.365,0.22510736139729218,0.6065031402853194,0.02499999999999858,1194.0,0.0006234098621401007,0.0023121397583793788,1.0
162,52517162.0,312.5,10.8,317.35,0.2246560693280225,0.6063814332751605,0.012500000000001066,1.0,0.0003547230361924947,0.0011580777206278686,1.0
163,52517173.0,312.5,10.85,317.35,0.2260746530793497,0.6058869057039118,0.049999999999998934,11.0,0.001418583751327196,0.004618945856294458,1.0
168,52517393.0,312.5,10.787500000000001,317.355,0.2242152739657634,0.6066301626511006,0.012500000000001066,70.0,0.0003547795659480102,0.0011594204197349384,1.0
169,52517640.0,312.5,10.8,317.355,0.2245700222746856,0.6065051408277178,0.01249999999999929,247.0,0.00035474830892218145,0.0011580777206276467,1.0
171,52517648.0,312.5,10.8,317.35,0.2246560693280225,0.6063814332751605,0.025000000000000355,1.0,0.0007094772231091562,0.0023174981403624824,1.0
173,52517692.0,312.5,10.8,317.355,0.2245700222746856,0.6065051408277178,0.025000000000000355,38.0,0.0007095278748701916,0.0023174981403624824,1.0
174,52517751.0,312.5,10.800000000000002,317.355,0.22457002227468564,0.6065051408277178,1.7763568394002505e-15,59.0,5.551115123125783e-17,2.2204460492503128e-16,1.0
176,52517837.0,312.5,10.825,317.355,0.2252794257487042,0.6062564643880997,0.02499999999999858,84.0,0.0007094034740185995,0.0023121397583793788,1.0
178,52517877.0,312.5,10.8,317.35,0.2246560693280225,0.6063814332751605,0.012500000000001066,8.0,0.0003547230361924947,0.0011580777206278686,1.0
180,52517920.0,312.5,10.783333333333333,317.35,0.22418309836513958,0.6065478882891995,0.00833333333333286,35.0,0.0002365062602262269,0.0007730962889884549,1.0
182,52517990.0,312.5,10.8,317.35,0.2246560693280225,0.6063814332751605,0.025000000000000355,16.0,0.0007094772231091562,0.0023174981403624824,1.0
183,52518013.0,312.5,10.825,317.35,0.2253654225730603,0.6061332673090725,0.02499999999999858,23.0,0.0007093532450377915,0.0023121397583793788,1.0
186,52518647.0,312.5,10.8,317.355,0.2245700222746856,0.6065051408277178,1.7763568394002505e-15,1.0,1.1102230246251565e-16,2.2204460492503128e-16,1.0
187,52518648.0,312.5,10.8125,317.35,0.22501076136995657,0.6062571236609138,0.01249999999999929,1.0,0.0004407390952709811,0.0011567381278237332,1.0
188,52518650.0,312.5,10.85,317.35,0.2260746530793497,0.6058869057039118,0.037499999999999645,2.0,0.0010638917093931388,0.003462207728470791,1.0
191,52518698.0,312.5,10.825,317.365,0.22510736139729218,0.6065031402853194,0.049999999999998934,2.0,0.0011607692923788215,0.004629637898741976,1.0
192,52518705.0,312.5,10.875,317.365,0.2265259992842213,0.6060091729613859,0.05000000000000071,7.0,0.0014186378869291139,0.0046083030861944025,1.0
196,52518759.0,312.5,10.8,317.365,0.22439785707772603,0.6067528399027466,0.02500000000000213,1.0,0.0007096295698296728,0.002317498140362704,1.0
200,52518831.0,312.5,10.8,317.365,0.22439785707772603,0.6067528399027466,1.7763568394002505e-15,2.0,1.1102230246251565e-16,2.2204460492503128e-16,1.0
201,52520833.0,312.5,10.794999999999998,317.35499999999985,0.22442812669188678,0.6065550946561693,-0.005000000000002558,2002.0,3.026961416074947e-05,-0.0004630701634035907,1.0
202,52520849.0,312.5,10.8,317.355,0.2245700222746856,0.6065051408277178,0.005000000000002558,16.0,0.0001418955827988122,0.00046307016340354124,1.0
208,52520952.0,312.5,10.8,317.355,0.2245700222746856,0.6065051408277178,0.025000000000000355,55.0,0.0007095278748701916,0.0023174981403624824,1.0
210,52521307.0,312.5,10.8,317.355,0.2245700222746856,0.6065051408277178,0.05000000000000071,112.0,0.0014191814114058454,0.004640379556502301,1.0
211,52521414.0,312.5,10.800000000000002,317.355,0.22457002227468564,0.6065051408277178,1.7763568394002505e-15,107.0,5.551115123125783e-17,2.2204460492503128e-16,1.0
213,52521566.0,312.5,10.799999999999999,317.3350000000001,0.22491406868678887,0.6060108769413652,-1.7763568394002505e-15,101.0,0.0003440464121032827,-1.1102230246251565e-16,1.0
215,52521602.0,312.5,10.8,317.3350000000001,0.22491406868678895,0.6060108769412764,0.025000000000000355,2.0,0.0007093260470632523,0.0023174981403624824,1.0
217,52521615.0,312.5,10.7875,317.3350000000001,0.22455942108013108,0.6061348739778261,0.037499999999999645,7.0,0.0010641284462662437,0.0034823018358744904,1.0
218,52521624.0,312.5,10.783333333333333,317.325,0.22461314675170882,0.605929059612631,-0.00416666666666643,9.0,5.372567157774233e-05,-0.00038632413074648066,1.0
222,52521656.0,312.5,10.85,317.325,0.2265040377909151,0.6052748450199097,0.07499999999999929,4.0,0.0021273132939532147,0.006936443996656948,1.0
